sep=,
Settled Date,Date,Order GUID,Order Type,Status,Open/Closed,Primary Currency,Volume,Outstanding,Secondary Currency,Price,Average Price,Value,Brokerage,Brokerage Fee,GST,Total Cost
8 Feb 2022 10:46:42 +11:00,8 Feb 2022 10:46:42 +11:00,53962d83-e54c-46c1-bad6-695d9abf38b8,Market Buy,Filled,Closed,AAVE,0.96110,0.00000,AUD,,263.99990000,253.73030389,1.15331956,0.50 %,0.11533195,254.99895540
1 May 2021 19:15:57 +10:00,1 May 2021 19:15:57 +10:00,460c1fc1-2802-4a40-a33c-e09ed2e21a6f,Market Buy,Filled,Closed,LINK,203.9280,0.0000,AUD,,48.79292983,9950.24459430,45.22838453,0.50 %,4.52283844,9999.99581727
16 Apr 2021 08:50:49 +10:00,16 Apr 2021 08:50:49 +10:00,b862667b-7140-4a72-9957-55cfe656d274,Market Buy,Filled,Closed,ETH,3.56032429,0.00000000,AUD,,3269.43929461,11640.26413529,52.91029152,0.50 %,5.29102914,11698.46545595
15 Apr 2021 14:12:24 +10:00,15 Apr 2021 14:12:24 +10:00,b7a670db-3e7f-4bb7-aa66-93b74a44a85d,Market Buy,Filled,Closed,ETH,9.35736677,0.00000000,AUD,,3190.00000000,29849.99999630,135.68181817,0.50 %,13.56818181,29999.24999628
14 Apr 2021 14:49:59 +10:00,14 Apr 2021 14:49:59 +10:00,7baf52c2-0490-4aa7-97b3-139d0799e848,Market Buy,Filled,Closed,USDT,7555.17649,0.00000,AUD,,1.31701076,9950.24874316,45.22840337,0.50 %,4.52284033,9999.99998686
